Experiment,Period,Player_ID,Demand,Wholesale_p.,Player_ID.1,Stock,Sales,Leftovers,Unmet_Demand,Realized_Mfg_Profit,Realized_Retailer_Profit,Realized_Mfg_Profit_Share,Optimal_Stock,Under/Overstock_wrt_Optimal,Expected_Sales,Expected_Leftovers,Expected_Retailer_Profit,Expected_Mfg_Profit,Expected_Mfg._Profit_Share,Predicted_Sales,Predicted_Leftovers,Predicted_Retailer_Profit,Predicted_Mfg_Profit,Realized_Retailer_Profit.1,Predicted_Mfg._Profit_Share,Behavioral_Category
1,13,Manufacturer 2,62,9,Retailer 2,80,62,18,0,480,24,0.9523809523809524,75,5,75.65,-0.6500000000000057,187.80000000000007,480,0.7187780772686432,72.0,3.0,189.0,450,24,0.704225352112676,3
1,14,Manufacturer 2,136,9,Retailer 2,0,0,0,136,0,0,0.0,75,-75,0.0,75.0,0.0,0,0.0,72.0,3.0,189.0,450,0,0.704225352112676,0
1,15,Manufacturer 2,146,8,Retailer 2,100,100,0,46,500,400,0.5555555555555556,83,17,87.75,-4.75,253.0,500,0.6640106241699867,77.72,5.280000000000001,268.64,415,400,0.6070446433795565,4
1,16,Manufacturer 2,95,8,Retailer 2,120,95,25,0,600,180,0.7692307692307693,83,37,95.85,-12.849999999999994,190.19999999999985,600,0.7593014426727412,77.72,5.280000000000001,268.64,415,180,0.6070446433795565,4
1,17,Manufacturer 2,139,8,Retailer 2,61,61,0,78,305,244,0.5555555555555556,83,-22,60.45,22.55,237.4000000000001,305,0.562315634218289,77.72,5.280000000000001,268.64,415,244,0.6070446433795565,0
1,18,Manufacturer 2,102,8,Retailer 2,75,75,0,27,375,300,0.5555555555555556,83,-8,72.0,11.0,264.0,375,0.5868544600938967,77.72,5.280000000000001,268.64,415,300,0.6070446433795565,2
1,19,Manufacturer 2,83,7,Retailer 2,150,83,67,0,600,-54,1.098901098901099,91,59,100.5,-9.5,156.0,600,0.7936507936507936,82.8,8.200000000000003,356.5999999999999,364,-54,0.505134610047183,4
1,20,Manufacturer 2,142,7,Retailer 2,140,140,0,2,560,700,0.4444444444444444,91,49,99.95,-8.950000000000003,219.4000000000001,560,0.7185014113420579,82.8,8.200000000000003,356.5999999999999,364,700,0.505134610047183,4
1,21,Manufacturer 2,80,7,Retailer 2,130,80,50,0,520,50,0.912280701754386,91,39,98.4,-7.400000000000006,270.8000000000002,520,0.6575619625695497,82.8,8.200000000000003,356.5999999999999,364,50,0.505134610047183,4
1,22,Manufacturer 2,101,7,Retailer 2,130,101,29,0,520,302,0.6326034063260341,91,39,98.4,-7.400000000000006,270.8000000000002,520,0.6575619625695497,82.8,8.200000000000003,356.5999999999999,364,302,0.505134610047183,4
1,23,Manufacturer 2,113,8,Retailer 2,120,113,7,0,600,396,0.6024096385542169,83,37,95.85,-12.849999999999994,190.19999999999985,600,0.7593014426727412,77.72,5.280000000000001,268.64,415,396,0.6070446433795565,4
1,24,Manufacturer 2,104,8,Retailer 2,81,81,0,23,405,324,0.5555555555555556,83,-2,76.35,6.650000000000006,268.19999999999993,405,0.6016042780748664,77.72,5.280000000000001,268.64,415,324,0.6070446433795565,2
1,25,Manufacturer 2,51,8,Retailer 2,71,51,20,0,355,44,0.8897243107769424,83,-12,68.9,14.099999999999994,258.80000000000007,355,0.5783642880417074,77.72,5.280000000000001,268.64,415,44,0.6070446433795565,1
1,26,Manufacturer 2,76,8,Retailer 2,71,71,0,5,355,284,0.5555555555555556,83,-12,68.9,14.099999999999994,258.80000000000007,355,0.5783642880417074,77.72,5.280000000000001,268.64,415,284,0.6070446433795565,1
1,27,Manufacturer 2,73,7,Retailer 2,140,73,67,0,560,-104,1.2280701754385963,91,49,99.95,-8.950000000000003,219.4000000000001,560,0.7185014113420579,82.8,8.200000000000003,356.5999999999999,364,-104,0.505134610047183,4
