Episode,Round,CurrentState,ManufacturerAction,RetailerAction,ManufacturerReward,RetailerReward,NextState,ManufacturerEpsilon,RetailerEpsilon
0,3943,"[7, 0, 0]",4,2,368,352.7128712871288,"[7, 0, 0]",1.0,0.2112000000000815
0,3944,"[7, 0, 0]",4,2,368,352.7128712871288,"[7, 0, 0]",1.0,0.21100000000008148
0,3945,"[7, 0, 0]",4,2,368,352.7128712871288,"[7, 0, 0]",1.0,0.21080000000008148
0,3946,"[7, 0, 0]",4,2,368,352.7128712871288,"[7, 0, 0]",1.0,0.21060000000008147
0,3947,"[7, 0, 0]",4,2,368,352.7128712871288,"[7, 0, 0]",1.0,0.21040000000008147
0,3948,"[7, 0, 0]",4,2,368,352.7128712871288,"[7, 0, 0]",1.0,0.21020000000008146
0,3949,"[7, 0, 0]",4,2,368,352.7128712871288,"[7, 0, 0]",1.0,0.21000000000008145
0,3950,"[7, 0, 0]",4,0,292,332.2079207920792,"[7, 0, 0]",1.0,0.20980000000008145
0,3951,"[7, 0, 0]",4,2,368,352.7128712871288,"[7, 0, 0]",1.0,0.20960000000008144
0,3952,"[7, 0, 0]",4,4,440,332.5742574257424,"[7, 0, 0]",1.0,0.20940000000008144
0,3953,"[7, 0, 0]",4,2,368,352.7128712871288,"[7, 0, 0]",1.0,0.20920000000008143
0,3954,"[7, 0, 0]",4,2,368,352.7128712871288,"[7, 0, 0]",1.0,0.20900000000008143
0,3955,"[7, 0, 0]",4,2,368,352.7128712871288,"[7, 0, 0]",1.0,0.20880000000008142
0,3956,"[7, 0, 0]",4,2,368,352.7128712871288,"[7, 0, 0]",1.0,0.20860000000008141
0,3957,"[7, 0, 0]",4,2,368,352.7128712871288,"[7, 0, 0]",1.0,0.2084000000000814
0,3958,"[7, 0, 0]",4,2,368,352.7128712871288,"[7, 0, 0]",1.0,0.2082000000000814
0,3959,"[7, 0, 0]",4,2,368,352.7128712871288,"[7, 0, 0]",1.0,0.2080000000000814
0,3960,"[7, 0, 0]",4,2,368,352.7128712871288,"[7, 0, 0]",1.0,0.2078000000000814
0,3961,"[7, 0, 0]",4,2,368,352.7128712871288,"[7, 0, 0]",1.0,0.20760000000008139
0,3962,"[7, 0, 0]",4,2,368,352.7128712871288,"[7, 0, 0]",1.0,0.20740000000008138
0,3963,"[7, 0, 0]",4,2,368,352.7128712871288,"[7, 0, 0]",1.0,0.20720000000008137
0,3964,"[7, 0, 0]",4,2,368,352.7128712871288,"[7, 0, 0]",1.0,0.20700000000008137
0,3965,"[7, 0, 0]",4,2,368,352.7128712871288,"[7, 0, 0]",1.0,0.20680000000008136
0,3966,"[7, 0, 0]",4,4,440,332.5742574257424,"[7, 0, 0]",1.0,0.20660000000008136
0,3967,"[7, 0, 0]",4,1,328,347.26732673267315,"[7, 0, 0]",1.0,0.20640000000008135
0,3968,"[7, 0, 0]",4,2,368,352.7128712871288,"[7, 0, 0]",1.0,0.20620000000008135
0,3969,"[7, 0, 0]",4,2,368,352.7128712871288,"[7, 0, 0]",1.0,0.20600000000008134
0,3970,"[7, 0, 0]",4,1,328,347.26732673267315,"[7, 0, 0]",1.0,0.20580000000008133
0,3971,"[7, 0, 0]",4,2,368,352.7128712871288,"[7, 0, 0]",1.0,0.20560000000008133
0,3972,"[7, 0, 0]",4,2,368,352.7128712871288,"[7, 0, 0]",1.0,0.20540000000008132
0,3973,"[7, 0, 0]",4,2,368,352.7128712871288,"[7, 0, 0]",1.0,0.20520000000008132
0,3974,"[7, 0, 0]",4,2,368,352.7128712871288,"[7, 0, 0]",1.0,0.2050000000000813
0,3975,"[7, 0, 0]",4,0,292,332.2079207920792,"[7, 0, 0]",1.0,0.2048000000000813
0,3976,"[7, 0, 0]",4,2,368,352.7128712871288,"[7, 0, 0]",1.0,0.2046000000000813
0,3977,"[7, 0, 0]",4,2,368,352.7128712871288,"[7, 0, 0]",1.0,0.2044000000000813
0,3978,"[7, 0, 0]",4,2,368,352.7128712871288,"[7, 0, 0]",1.0,0.2042000000000813
0,3979,"[7, 0, 0]",4,2,368,352.7128712871288,"[7, 0, 0]",1.0,0.20400000000008128
0,3980,"[7, 0, 0]",4,2,368,352.7128712871288,"[7, 0, 0]",1.0,0.20380000000008128
0,3981,"[7, 0, 0]",4,2,368,352.7128712871288,"[7, 0, 0]",1.0,0.20360000000008127
0,3982,"[7, 0, 0]",4,2,368,352.7128712871288,"[7, 0, 0]",1.0,0.20340000000008127
0,3983,"[7, 0, 0]",4,2,368,352.7128712871288,"[7, 0, 0]",1.0,0.20320000000008126
0,3984,"[7, 0, 0]",4,2,368,352.7128712871288,"[7, 0, 0]",1.0,0.20300000000008125
0,3985,"[7, 0, 0]",4,2,368,352.7128712871288,"[7, 0, 0]",1.0,0.20280000000008125
0,3986,"[7, 0, 0]",4,2,368,352.7128712871288,"[7, 0, 0]",1.0,0.20260000000008124
0,3987,"[7, 0, 0]",4,2,368,352.7128712871288,"[7, 0, 0]",1.0,0.20240000000008124
0,3988,"[7, 0, 0]",4,2,368,352.7128712871288,"[7, 0, 0]",1.0,0.20220000000008123
0,3989,"[7, 0, 0]",4,4,440,332.5742574257424,"[7, 0, 0]",1.0,0.20200000000008123
