Episode,Round,CurrentState,ManufacturerAction,RetailerAction,ManufacturerReward,RetailerReward,NextState,ManufacturerEpsilon,RetailerEpsilon
0,43,"[4, 0, 0]",1,0,93,631.6039603960396,"[4, 0, 0]",1.0,0.9944999999999982
0,44,"[4, 0, 0]",1,2,117,665.3465346534654,"[4, 0, 0]",1.0,0.9943749999999981
0,45,"[4, 0, 0]",1,1,105,657.029702970297,"[4, 0, 0]",1.0,0.9942499999999981
0,46,"[4, 0, 0]",1,1,105,657.029702970297,"[4, 0, 0]",1.0,0.994124999999998
0,47,"[4, 0, 0]",1,4,140,633.4653465346535,"[4, 0, 0]",1.0,0.993999999999998
0,48,"[4, 0, 0]",1,3,128,657.9405940594061,"[4, 0, 0]",1.0,0.993874999999998
0,49,"[4, 0, 0]",1,4,140,633.4653465346535,"[4, 0, 0]",1.0,0.9937499999999979
0,50,"[4, 0, 0]",1,0,93,631.6039603960396,"[4, 0, 0]",1.0,0.9936249999999979
0,51,"[4, 0, 0]",1,3,128,657.9405940594061,"[4, 0, 0]",1.0,0.9934999999999978
0,52,"[4, 0, 0]",1,4,140,633.4653465346535,"[4, 0, 0]",1.0,0.9933749999999978
0,53,"[4, 0, 0]",1,1,105,657.029702970297,"[4, 0, 0]",1.0,0.9932499999999977
0,54,"[4, 0, 0]",1,1,105,657.029702970297,"[4, 0, 0]",1.0,0.9931249999999977
0,55,"[4, 0, 0]",1,4,140,633.4653465346535,"[4, 0, 0]",1.0,0.9929999999999977
0,56,"[4, 0, 0]",1,0,93,631.6039603960396,"[4, 0, 0]",1.0,0.9928749999999976
0,57,"[4, 0, 0]",1,1,105,657.029702970297,"[4, 0, 0]",1.0,0.9927499999999976
0,58,"[4, 0, 0]",1,0,93,631.6039603960396,"[4, 0, 0]",1.0,0.9926249999999975
0,59,"[4, 0, 0]",1,1,105,657.029702970297,"[4, 0, 0]",1.0,0.9924999999999975
0,60,"[4, 0, 0]",1,1,105,657.029702970297,"[4, 0, 0]",1.0,0.9923749999999975
0,61,"[4, 0, 0]",1,1,105,657.029702970297,"[4, 0, 0]",1.0,0.9922499999999974
0,62,"[4, 0, 0]",1,1,105,657.029702970297,"[4, 0, 0]",1.0,0.9921249999999974
0,63,"[4, 0, 0]",1,2,117,665.3465346534654,"[4, 0, 0]",1.0,0.9919999999999973
0,64,"[4, 0, 0]",1,4,140,633.4653465346535,"[4, 0, 0]",1.0,0.9918749999999973
0,65,"[4, 0, 0]",1,3,128,657.9405940594061,"[4, 0, 0]",1.0,0.9917499999999972
0,66,"[4, 0, 0]",1,3,128,657.9405940594061,"[4, 0, 0]",1.0,0.9916249999999972
0,67,"[4, 0, 0]",1,1,105,657.029702970297,"[4, 0, 0]",1.0,0.9914999999999972
0,68,"[4, 0, 0]",1,2,117,665.3465346534654,"[4, 0, 0]",1.0,0.9913749999999971
0,69,"[4, 0, 0]",1,3,128,657.9405940594061,"[4, 0, 0]",1.0,0.9912499999999971
0,70,"[4, 0, 0]",1,4,140,633.4653465346535,"[4, 0, 0]",1.0,0.991124999999997
0,71,"[4, 0, 0]",1,2,117,665.3465346534654,"[4, 0, 0]",1.0,0.990999999999997
0,72,"[4, 0, 0]",1,2,117,665.3465346534654,"[4, 0, 0]",1.0,0.990874999999997
0,73,"[4, 0, 0]",1,3,128,657.9405940594061,"[4, 0, 0]",1.0,0.9907499999999969
0,74,"[4, 0, 0]",1,2,117,665.3465346534654,"[4, 0, 0]",1.0,0.9906249999999969
